序号,项目,代码,预计募集（亿）,实际募集（亿）,发行时间,二级市场价格,底价,底价折扣,发行价格,发行折扣,发行对象数量,解禁日期,解禁后收益,市场价格,解禁价格,价格不同
40.0,科远智慧,2380.0,9.361428,9.3614279049,2016-03-14 12:00:00,33.92,23.67,0.6978183962264151,26.01,0.7668042452830188,7.0,2017-04-19,0.7835447904652058,33.92,20.35,False
41.0,露笑科技,2617.0,13.1856,13.1855999975,2016-03-24 16:00:00,22.25,16.76,0.7532584269662922,18.25,0.8202247191011236,8.0,2017-04-25,1.2690410958904108,22.25,13.6,False
42.0,中南建设,961.0,47.0,46.3999998124,2016-03-23 15:00:00,15.79,14.68,0.9297023432552248,14.68,0.9297023432552248,5.0,2017-04-20,1.1886920980926432,15.79,6.98,False
43.0,国祯环保,300388.0,5.0,5.0,2016-03-30 12:00:00,23.5,20.37,0.8668085106382979,20.51,0.8727659574468086,3.0,2017-04-20,0.9970745977571915,23.5,20.4,False
44.0,云意电气,300304.0,5.5,5.49999994,2016-03-29 12:00:00,24.5,18.82,0.7681632653061224,20.5,0.8367346938775511,5.0,2017-04-21,0.5014634146341463,24.5,10.08,False
45.0,新联电子,2546.0,13.5,13.4999999896,2016-03-30 12:00:00,15.77,8.96,0.5681674064679773,10.51,0.6664552948636652,6.0,2017-04-24,0.6060894386298763,15.77,6.37,False
46.0,宝新能源,690.0,31.0,30.999999978,2016-04-01 12:00:00,7.87,6.9,0.8767471410419314,6.9,0.8767471410419314,9.0,2017-04-26,1.0231884057971015,7.87,6.86,False
47.0,联创股份,300343.0,12.288435,12.2883976,2016-04-07 12:00:00,86.21,66.47,0.7710242431272475,69.2,0.8026911031202878,3.0,2017-05-09,0.967991329479769,86.21,18.05,False
48.0,飞利信,300287.0,22.45,22.44999348,2016-04-01 12:00:00,13.4,10.94,0.8164179104477611,10.98,0.8194029850746268,5.0,2017-05-10,0.814936247723133,13.4,8.92,False
49.0,中鼎股份,887.0,19.1678,19.17,2016-04-12 12:00:00,21.92,16.23,0.740419708029197,19.75,0.9010036496350364,7.0,2017-05-08,1.0106329113924049,21.92,22.19,False
50.0,万邦达,300055.0,30.96,23.699,2016-04-13 12:00:00,18.16,16.4,0.9030837004405285,18.23,1.0038546255506609,4.0,2016-05-04,1.0082281952825012,18.16,18.38,False
51.0,驰宏锌锗,600497.0,25.84,25.84,2016-04-11 12:00:00,11.25,9.41,0.8364444444444444,9.41,0.84,4.0,2017-05-04,1.26,11.25,5.86,False
,,600497.0,,,2016-04-22 17:00:00,10.85,9.41,0.8672811059907835,9.41,0.87,,2017-05-04,,10.85,5.86,False
52.0,中公教育,2607.0,10.0,10.0,2016-04-12 12:00:00,13.09,6.84,0.5225362872421696,10.12,0.7731092436974789,7.0,2017-05-05,0.8586956521739131,13.09,8.69,False
53.0,天银机电,300342.0,2.395996,2.395995749,2016-04-15 12:00:00,36.7,31.83,0.8673024523160762,33.85,0.9223433242506812,3.0,2017-05-10,0.9195592880354506,36.7,15.66,False
54.0,科华恒盛,2335.0,16.58,16.58,2016-04-13 12:00:00,43.25,18.37,0.4247398843930636,35.98,0.831907514450867,7.0,2017-05-08,0.8438021122846027,43.25,30.06,False
55.0,万润科技,2654.0,4.45,4.45,2016-04-18 12:00:00,14.94,11.96,0.8005354752342705,12.18,0.8152610441767069,5.0,2017-05-08,0.7463054187192119,14.94,9.09,False
56.0,兴源环境,300266.0,6.63,6.63,2016-04-14 12:00:00,40.39,33.24,0.8229759841544937,34.5,0.8541718247090864,2.0,2017-06-07,1.604666666666667,40.39,50.31,False
57.0,凯撒文化,2425.0,6.21,6.21,2016-04-12 16:00:00,23.58,17.11,0.7256149279050043,21.57,0.9147582697201019,8.0,2017-05-18,0.6917014371812703,23.58,14.87,False
58.0,林洋能源,601222.0,28.0,28.0,2016-04-19 12:00:00,36.85,30.66,0.8320217096336499,30.68,0.8325644504748982,7.0,2017-05-10,0.7708604954367666,36.85,6.7,False
,,601222.0,,,2016-04-20 15:30:00,36.8,30.66,0.8331521739130435,30.68,0.8336956521739131,,2017-05-10,,36.8,6.7,False
,,601222.0,,,2016-04-21 17:00:00,36.11,30.66,0.8490722791470507,30.68,0.8496261423428413,,2017-05-10,,36.11,6.7,False
59.0,吉祥航空,603885.0,35.65,33.68,2016-04-28 12:00:00,26.3,22.82,0.867680608365019,22.82,0.867680608365019,8.0,2017-05-11,0.9184925503943909,26.3,20.71,False
,,603885.0,,,2016-05-04 17:00:00,29.66,22.82,0.7693863789615644,22.82,0.7693863789615644,,2017-05-11,,29.66,20.71,False
60.0,蓝思科技,300433.0,49.0,31.68,2016-03-23 12:00:00,67.39,58.84,0.873126576643419,58.84,0.873126576643419,3.0,2017-05-11,1.7413324269204622,67.39,33.82,False
,,300433.0,,,2016-04-07 16:00:00,67.39,58.84,0.873126576643419,58.84,0.873126576643419,,2017-05-11,,67.39,33.82,False
61.0,再升科技,603601.0,7.78,7.78,2016-04-25 12:00:00,32.7,25.65,0.7844036697247705,30.0,0.9174311926605504,7.0,2017-05-15,1.1606666666666667,32.7,16.54,False
62.0,恒力石化,600346.0,16.0,16.0,2016-04-26 12:00:00,7.03,6.32,0.89900426742532,6.36,0.9046941678520626,8.0,2017-05-15,1.1069182389937107,7.03,6.89,False
63.0,济川药业,600566.0,6.42,6.42,2016-04-27 12:00:00,23.31,19.59,0.8404118404118405,22.8,0.9781209781209782,7.0,2017-05-12,1.4565789473684208,23.31,32.48,False
64.0,五洋停车,300420.0,2.96,2.96,2016-04-20 15:30:00,47.22,40.76,0.8631935620499788,47.27,1.0010588733587464,4.0,2016-05-16,1.3209223609054368,47.22,62.44,False
65.0,吉林化纤,420.0,17.2,17.2,2016-04-22 16:00:00,7.3,6.23,0.8534246575342467,6.4,0.8767123287671234,7.0,2017-05-23,0.94375,7.3,3.02,False
66.0,东方财富,300059.0,40.0,40.0,2016-04-27 12:00:00,21.82,19.4,0.8890925756186984,19.48,0.8927589367552704,4.0,2017-05-17,0.697535934291581,21.82,11.29,False
67.0,恒泰艾普,300157.0,7.2,7.2,2016-04-18 17:00:00,11.11,9.02,0.8118811881188119,11.19,1.0072007200720072,3.0,2017-05-17,1.3065236818588024,11.11,14.52,False
68.0,东方国信,300166.0,17.96,17.96,2016-04-15 16:00:00,25.7,22.06,0.8583657587548638,22.88,0.890272373540856,5.0,2017-05-17,0.8409090909090908,25.7,19.24,False
69.0,正业科技,300410.0,3.2,3.2,2016-04-27 11:00:00,37.06,32.9,0.8877495952509443,33.5,0.9039395574743658,2.0,2017-05-19,1.0791044776119403,37.02,36.15,True
70.0,长方集团,300301.0,9.11,7.6,2016-04-20 12:00:00,9.11,7.44,0.8166849615806807,7.6,0.8342480790340285,2.0,2017-05-22,0.8328947368421054,9.11,6.35,False
71.0,巨人网络,2558.0,50.0,50.0,2016-04-20 11:00:00,125.0,29.58,0.23664,94.0,0.752,8.0,2017-05-26,1.7553191489361701,125.2,55.0,True
72.0,东方集团,600811.0,87.35,87.03,2016-05-16 12:00:00,6.63,7.31,1.1025641025641024,7.31,1.1025641025641024,5.0,2017-05-26,0.8686730506155951,6.63,6.35,False
73.0,和晶科技,300279.0,5.4,5.4,2016-04-22 12:00:00,39.18,32.89,0.8394589076059215,36.1,0.9213884635017867,3.0,2017-06-02,0.9157894736842106,39.18,32.96,False
74.0,木林森,2745.0,23.48,23.48,2016-05-06 12:00:00,31.25,28.0,0.896,28.01,0.89632,5.0,2017-05-31,1.1113887897179577,31.25,31.13,False
75.0,维尔利,300190.0,12.0,11.4,2016-05-03 17:00:00,20.45,17.62,0.8616136919315405,19.0,0.9290953545232274,4.0,2017-06-02,0.78,20.45,14.77,False
